epoch,Precision,Recall,accuracy,loss,val_Precision,val_Recall,val_accuracy,val_loss
0,0.8760037422180176,0.6691111326217651,0.8935999870300293,0.2692015767097473,0.9623352289199829,0.8342857360839844,0.9504081606864929,0.1532590091228485
1,0.9510383605957031,0.8650222420692444,0.9551222324371338,0.13361194729804993,0.9806555509567261,0.7448979616165161,0.9325510263442993,0.2032216191291809
2,0.9627432227134705,0.9015555381774902,0.9666666388511658,0.10291856527328491,0.9955489635467529,0.8216326236724854,0.9544897675514221,0.12639914453029633
3,0.9703526496887207,0.920799970626831,0.9731666445732117,0.08404547721147537,0.9789842367172241,0.9126530885696411,0.9732652902603149,0.08947508782148361
4,0.9748334288597107,0.9365333318710327,0.978088915348053,0.0690198689699173,0.9845384359359741,0.8836734890937805,0.9674489498138428,0.11684704571962357
5,0.9787635207176208,0.9463555812835693,0.9814555644989014,0.06100764498114586,0.9863263368606567,0.8832653164863586,0.9677550792694092,0.12282074242830276
6,0.9806064963340759,0.9528444409370422,0.9835000038146973,0.053822893649339676,0.9824109673500061,0.9346938729286194,0.979489803314209,0.06564443558454514
7,0.9836946725845337,0.9599111080169678,0.9860000014305115,0.046075016260147095,0.9971923232078552,0.8697959184646606,0.9668367505073547,0.143356055021286
8,0.9857936501502991,0.9622222185134888,0.9870889186859131,0.04324161633849144,0.9625822305679321,0.9555101990699768,0.9795918464660645,0.06790409982204437
9,0.9868313670158386,0.9658666849136353,0.9882444739341736,0.03956928849220276,0.9875518679618835,0.9714285731315613,0.9897959232330322,0.034461162984371185
10,0.9884989857673645,0.9702666401863098,0.9897444248199463,0.036159150302410126,0.996221661567688,0.9685714244842529,0.991224467754364,0.0265087578445673
11,0.9885551333427429,0.9712444543838501,0.9900000095367432,0.03430880978703499,0.9910141229629517,0.945306122303009,0.984183669090271,0.06209080293774605
12,0.9893391132354736,0.9733777642250061,0.9907222390174866,0.031632665544748306,0.9982410073280334,0.9265305995941162,0.9812244772911072,0.08218882232904434
13,0.9907031059265137,0.9756444692611694,0.9916222095489502,0.02965257130563259,0.9921514391899109,0.8771428465843201,0.9675509929656982,0.14678722620010376
14,0.9911608099937439,0.9768000245094299,0.9920222163200378,0.027010807767510414,0.9961799383163452,0.9579591751098633,0.9885714054107666,0.0413781963288784
15,0.994608461856842,0.9838666915893555,0.9946333169937134,0.019285226240754128,0.9868312478065491,0.9787755012512207,0.991428554058075,0.031074848026037216
16,0.9939385652542114,0.9838666915893555,0.9944666624069214,0.019378021359443665,0.9954147338867188,0.9746938943862915,0.9925510287284851,0.022551532834768295
17,0.9942554235458374,0.9846222400665283,0.9947333335876465,0.01917320303618908,0.9922195076942444,0.9889795780181885,0.995306134223938,0.015458500012755394
18,0.9947066307067871,0.9855111241340637,0.9950666427612305,0.017195627093315125,0.9954432249069214,0.9808163046836853,0.9940816164016724,0.01974346488714218
19,0.9956950545310974,0.9868444204330444,0.9956444501876831,0.015467725694179535,0.9816026091575623,0.9800000190734863,0.990408182144165,0.04048997536301613
20,0.9958320260047913,0.9875555634498596,0.9958555698394775,0.015158765017986298,0.9991441965103149,0.9530612230300903,0.988061249256134,0.04693470895290375
21,0.9948963522911072,0.9876888990402222,0.9956555366516113,0.01527300663292408,0.9962453246116638,0.9746938943862915,0.992755115032196,0.023703252896666527
22,0.9963319301605225,0.9899111390113831,0.996566653251648,0.012645009905099869,0.998344361782074,0.9844897985458374,0.9957143068313599,0.01287028007209301
