epoch,Precision,Recall,accuracy,loss,val_Precision,val_Recall,val_accuracy,val_loss
0,0.9610950946807861,0.9189777970314026,0.9704444408416748,0.08673755079507828,0.3302364945411682,0.4787755012512207,0.6269387602806091,0.797551691532135
1,0.9874736070632935,0.9775111079216003,0.9912777543067932,0.02914753183722496,0.9775429368019104,0.30204081535339355,0.8237755298614502,0.846265435218811
2,0.9907018542289734,0.9849777817726135,0.9939333200454712,0.02001265436410904,0.2926027476787567,0.2179591804742813,0.6727551221847534,1.886582374572754
3,0.9931650757789612,0.9880889058113098,0.9953222274780273,0.01635550707578659,0.9969340562820435,0.7963265180587769,0.9484694004058838,0.22371497750282288
4,0.9942436218261719,0.9902666807174683,0.9961333274841309,0.012773312628269196,0.9962853193283081,0.5473469495773315,0.8863265514373779,0.5948315858840942
5,0.994611918926239,0.9927111268043518,0.996833324432373,0.01057637482881546,1.0,0.09306122362613678,0.7732653021812439,1.8801032304763794
6,0.9949234127998352,0.9929777979850769,0.9969778060913086,0.00957153644412756,0.9962311387062073,0.9710204005241394,0.9918367266654968,0.03258335217833519
7,0.995725154876709,0.9938222169876099,0.9973888993263245,0.008427334949374199,0.2056986689567566,0.21510204672813416,0.5961224436759949,0.8978403806686401
8,0.9959490895271301,0.9943555593490601,0.9975777864456177,0.008072823286056519,0.6121212244033813,0.6595918536186218,0.8104081749916077,0.5416501760482788
9,0.9963955283164978,0.9951555728912354,0.9978888630867004,0.006776175927370787,0.9905427694320679,0.9832652807235718,0.9934694170951843,0.024386510252952576
10,0.9963505268096924,0.9949777722358704,0.9978333115577698,0.006502562668174505,0.9995529651641846,0.9126530885696411,0.9780611991882324,0.13061882555484772
11,0.9959094524383545,0.9955111145973206,0.997855544090271,0.006153450347483158,0.7753259539604187,0.31551021337509155,0.8060203790664673,0.733910858631134
12,0.9973300099372864,0.9960888624191284,0.9983555674552917,0.00539275910705328,0.8867689967155457,0.872653067111969,0.9403061270713806,0.24686561524868011
13,0.9970662593841553,0.9969333410263062,0.9984999895095825,0.005277463234961033,0.9970711469650269,0.9726530909538269,0.9924489855766296,0.03310692682862282
14,0.998664915561676,0.9973333477973938,0.9990000128746033,0.0032698235008865595,0.9954545497894287,0.9832652807235718,0.9946938753128052,0.018792662769556046
15,0.9977775812149048,0.997688889503479,0.9988666772842407,0.0032962781842797995,0.9963175058364868,0.9938775300979614,0.9975510239601135,0.01016213744878769
16,0.997998833656311,0.9974222183227539,0.9988555312156677,0.0034572568256407976,0.9987293481826782,0.9624489545822144,0.9903061389923096,0.04877253249287605
17,0.9987548589706421,0.9981777667999268,0.9992333054542542,0.0023558640386909246,1.0,0.7534694075584412,0.9383673667907715,0.3489851653575897
18,0.9982661008834839,0.9979555606842041,0.9990555644035339,0.0030343018006533384,0.9995076060295105,0.8285714387893677,0.9570407867431641,0.2733899652957916
19,0.9983549118041992,0.9979555606842041,0.9990777969360352,0.002732420340180397,0.9991170167922974,0.9236734509468079,0.9807142615318298,0.08979415893554688
20,0.998843789100647,0.9982666373252869,0.9992777705192566,0.00241196365095675,0.9882065653800964,0.9918367266654968,0.9950000047683716,0.02551998198032379
21,0.9990661144256592,0.9984889030456543,0.9993888735771179,0.0017835530452430248,0.9971737861633301,0.864081621170044,0.9654081463813782,0.18370404839515686
22,0.9991108179092407,0.9987555742263794,0.9994666576385498,0.0016382107278332114,0.9983586668968201,0.9930612444877625,0.9978571534156799,0.00719594769179821
23,0.9991998672485352,0.9990222454071045,0.9995555281639099,0.0016334961401298642,0.9991806745529175,0.9955102205276489,0.9986734986305237,0.004991983529180288
24,0.9991997480392456,0.9988889098167419,0.9995222091674805,0.0016284437151625752,0.998773992061615,0.9975510239601135,0.9990816116333008,0.0026794499717652798
25,0.9991554021835327,0.998977780342102,0.9995333552360535,0.001541514415293932,0.9967186450958252,0.9918367266654968,0.9971428513526917,0.010095679201185703
26,0.9991997480392456,0.9988889098167419,0.9995222091674805,0.0013406341895461082,0.9991806745529175,0.9955102205276489,0.9986734986305237,0.00694690179079771
27,0.9992443323135376,0.9990666508674622,0.9995777606964111,0.0013240885455161333,0.9975082874298096,0.9804081916809082,0.9944897890090942,0.024807162582874298
28,0.9988887310028076,0.9987555742263794,0.9994111061096191,0.0018028257181867957,0.9983673691749573,0.9983673691749573,0.9991836547851562,0.0032159911934286356
