epoch,Precision,Recall,accuracy,loss,val_Precision,val_Recall,val_accuracy,val_loss
0,0.9101507663726807,0.8049777746200562,0.9313777685165405,0.17936404049396515,0.0,0.0,0.75,0.9452900886535645
1,0.9662615060806274,0.9291999936103821,0.9741888642311096,0.07724376767873764,0.9943100810050964,0.2853061258792877,0.8209183812141418,0.7542166113853455
2,0.9749336838722229,0.9472888708114624,0.980733335018158,0.05796464905142784,0.9842289686203003,0.6877551078796387,0.9191836714744568,0.2870028018951416
3,0.9789612293243408,0.9575111269950867,0.9842333197593689,0.04798007756471634,0.985514760017395,0.777550995349884,0.9415305852890015,0.1893429309129715
4,0.9831254482269287,0.9632444381713867,0.9866777658462524,0.040741778910160065,0.9748427867889404,0.8857142925262451,0.9657142758369446,0.11493339389562607
5,0.9839956760406494,0.9673333168029785,0.9879000186920166,0.03566243126988411,0.9591555595397949,0.8530611991882324,0.9541836977005005,0.148212268948555
6,0.9860209226608276,0.971822202205658,0.9895111322402954,0.03133704513311386,0.9838286638259888,0.9187754988670349,0.9759183526039124,0.08003081381320953
7,0.9863075613975525,0.9732444286346436,0.9899333119392395,0.02971557341516018,0.9956709742546082,0.9387755393981934,0.9836734533309937,0.05803658440709114
8,0.9880872368812561,0.97688889503479,0.9912777543067932,0.02678663469851017,0.9961022138595581,0.9387755393981934,0.9837754964828491,0.05706632137298584
9,0.9890361428260803,0.9782666563987732,0.9918555617332458,0.025025663897395134,0.9845956563949585,0.9391836524009705,0.9811224341392517,0.05978143960237503
10,0.9900736808776855,0.9796888828277588,0.9924666881561279,0.023063886910676956,0.9893993139266968,0.9142857193946838,0.9761224389076233,0.09153926372528076
11,0.9908552765846252,0.9824000000953674,0.9933333396911621,0.020237041637301445,0.9931740760803223,0.950204074382782,0.9859183430671692,0.0595870167016983
12,0.9901903867721558,0.9824888706207275,0.9931889176368713,0.01985882595181465,0.9867464900016785,0.9420408010482788,0.9823469519615173,0.06886784732341766
13,0.9916726350784302,0.9844444394111633,0.9940444231033325,0.01758180558681488,0.9970072507858276,0.9518367052078247,0.9872449040412903,0.048795778304338455
14,0.9927986860275269,0.9864888787269592,0.9948333501815796,0.015228238888084888,0.9940552115440369,0.9555101990699768,0.9874489903450012,0.04390309378504753
15,0.9919571280479431,0.9866666793823242,0.9946666955947876,0.01557823084294796,0.9965841174125671,0.9526530504226685,0.9873469471931458,0.05119374394416809
16,0.9928523302078247,0.9877777695655823,0.9951666593551636,0.01375401858240366,0.99204021692276,0.9665306210517883,0.9896938800811768,0.03921003267168999
17,0.992985725402832,0.9878222346305847,0.995211124420166,0.013531049713492393,0.9944868683815002,0.9571428298950195,0.9879592061042786,0.04721200093626976
18,0.9924022555351257,0.9868888854980469,0.9948333501815796,0.015188626945018768,0.9960886836051941,0.9355102181434631,0.9829592108726501,0.06892932206392288
19,0.9936103820800781,0.9883111119270325,0.9954888820648193,0.013448298908770084,0.9957982897758484,0.9673469662666321,0.9908163547515869,0.03562116622924805
20,0.9930871725082397,0.989644467830658,0.9956889152526855,0.012795932590961456,0.9940298795700073,0.9514285922050476,0.9864285588264465,0.055181391537189484
21,0.9934844970703125,0.9894222021102905,0.9957333207130432,0.011522897519171238,0.9919388890266418,0.954285740852356,0.9866326451301575,0.05347135663032532
22,0.9939751029014587,0.9898666739463806,0.9959666728973389,0.011407431215047836,0.9919865131378174,0.9599999785423279,0.988061249256134,0.04592875763773918
23,0.9942495226860046,0.9912889003753662,0.9963889122009277,0.01010156236588955,0.9926850199699402,0.9416326284408569,0.9836734533309937,0.07126917690038681
24,0.9942036867141724,0.9910222291946411,0.9963111281394958,0.010841712355613708,0.9910218119621277,0.9461224675178528,0.9843877553939819,0.06162045896053314
25,0.9951369762420654,0.9913333058357239,0.9966222047805786,0.010511273518204689,0.991500198841095,0.9522448778152466,0.9860203862190247,0.05513375252485275
26,0.994693398475647,0.9913777709007263,0.9965222477912903,0.0099842119961977,0.9920335412025452,0.9657142758369446,0.9894897937774658,0.04308496415615082
27,0.994913637638092,0.9910666942596436,0.9965000152587891,0.009724743664264679,0.9931769967079163,0.9506122469902039,0.9860203862190247,0.05437372252345085
