epoch,Precision,Recall,accuracy,loss,val_Precision,val_Recall,val_accuracy,val_loss
0,0.4770798087120056,0.012488888576626778,0.7497000098228455,0.5339223742485046,0.8650793433189392,0.044489797204732895,0.759387731552124,0.4658356010913849
1,0.7440188527107239,0.308222234249115,0.8005444407463074,0.4283421039581299,0.7696108818054199,0.508571445941925,0.8390816450119019,0.36367225646972656
2,0.8051556944847107,0.5469333529472351,0.8536444306373596,0.34254518151283264,0.8158024549484253,0.6742857098579407,0.8805102109909058,0.28767290711402893
3,0.8520476222038269,0.6519111394882202,0.8846777677536011,0.28400087356567383,0.8461896181106567,0.7432653307914734,0.9020408391952515,0.2436627298593521
4,0.8762909173965454,0.7052000164985657,0.9014111161231995,0.24686335027217865,0.8458169102668762,0.7881632447242737,0.9111224412918091,0.22061458230018616
5,0.8933210968971252,0.7365333437919617,0.9121444225311279,0.225441575050354,0.8602620363235474,0.8040816187858582,0.918367326259613,0.20017045736312866
6,0.9053332805633545,0.7612444162368774,0.9204111099243164,0.20771317183971405,0.8391410112380981,0.8453060984611511,0.9208163022994995,0.196268692612648
7,0.9134445190429688,0.7790666818618774,0.9263111352920532,0.1942390352487564,0.8597285151481628,0.8530611991882324,0.9284693598747253,0.18203242123126984
8,0.913517951965332,0.7887111306190491,0.9285110831260681,0.18524496257305145,0.8576077818870544,0.8604081869125366,0.9293877482414246,0.17943374812602997
9,0.9206770062446594,0.8026666641235352,0.9333778023719788,0.173480823636055,0.8699958920478821,0.8604081869125366,0.9329591989517212,0.16787268221378326
10,0.927860677242279,0.8123111128807068,0.9372888803482056,0.16583745181560516,0.851571798324585,0.8734694123268127,0.9303061366081238,0.17517754435539246
11,0.9278858304023743,0.8206222057342529,0.9392111301422119,0.16189910471439362,0.8765381574630737,0.8722448945045471,0.9373469352722168,0.16213370859622955
12,0.9315961003303528,0.8262222409248352,0.9413889050483704,0.15665766596794128,0.8788254857063293,0.8673469424247742,0.9369387626647949,0.15874230861663818
13,0.9312630891799927,0.8303555846214294,0.9422666430473328,0.1525757759809494,0.8924103379249573,0.8734694123268127,0.9420408010482788,0.1500360518693924
14,0.9334295392036438,0.8338222503662109,0.94358891248703,0.15073004364967346,0.8570863008499146,0.8836734890937805,0.9340816140174866,0.16810710728168488
15,0.9359076023101807,0.8391555547714233,0.9454222321510315,0.14425474405288696,0.85080486536026,0.8844897747039795,0.9323469400405884,0.16933876276016235
16,0.9357666969299316,0.8443111181259155,0.9465888738632202,0.14165011048316956,0.8905863165855408,0.8804081678390503,0.9430612325668335,0.14760756492614746
17,0.9376682043075562,0.8517777919769287,0.9487888813018799,0.13679622113704681,0.8920032978057861,0.8832653164863586,0.9440816044807434,0.1475282460451126
18,0.9390483498573303,0.8490666747093201,0.9484888911247253,0.1380651444196701,0.8970404267311096,0.8783673644065857,0.9443877339363098,0.1453886777162552
