epoch,accuracy,loss,val_accuracy,val_loss
0,0.7514374852180481,0.5037316679954529,0.7351250052452087,0.5226598381996155
1,0.8064062595367432,0.41957831382751465,0.831250011920929,0.3853902220726013
2,0.8320000171661377,0.37220919132232666,0.8475000262260437,0.35559967160224915
3,0.8608750104904175,0.32477495074272156,0.8682500123977661,0.301540732383728
4,0.8847500085830688,0.28177496790885925,0.8884999752044678,0.2841130197048187
5,0.8941875100135803,0.2548830807209015,0.9003750085830688,0.23684437572956085
6,0.9057499766349792,0.23501262068748474,0.9156249761581421,0.21312262117862701
7,0.9156875014305115,0.21346044540405273,0.918749988079071,0.21842367947101593
8,0.921093761920929,0.2016683667898178,0.9103749990463257,0.23083631694316864
9,0.929031252861023,0.18304750323295593,0.9394999742507935,0.16831791400909424
10,0.9308750033378601,0.1779061108827591,0.9072499871253967,0.231138676404953
11,0.9326562285423279,0.1729363203048706,0.9367499947547913,0.16227667033672333
12,0.9365624785423279,0.16450351476669312,0.9353749752044678,0.1625063568353653
13,0.9375312328338623,0.16096043586730957,0.9337499737739563,0.16592681407928467
14,0.9428750276565552,0.1511148065328598,0.9416249990463257,0.14840832352638245
15,0.9422500133514404,0.15038487315177917,0.9449999928474426,0.14423666894435883
16,0.9440000057220459,0.14576837420463562,0.9396250247955322,0.1533057987689972
17,0.9446250200271606,0.14498618245124817,0.9440000057220459,0.14117588102817535
18,0.9460625052452087,0.14215204119682312,0.9473749995231628,0.13548873364925385
19,0.9458437561988831,0.13957001268863678,0.9491249918937683,0.13369205594062805
20,0.9475937485694885,0.13823075592517853,0.9453750252723694,0.140028715133667
21,0.9495624899864197,0.13528084754943848,0.9480000138282776,0.13650314509868622
22,0.949999988079071,0.1320335417985916,0.9502500295639038,0.13063250482082367
23,0.9517499804496765,0.12922920286655426,0.9487500190734863,0.13306830823421478
24,0.953249990940094,0.12764352560043335,0.9482499957084656,0.1318003088235855
25,0.9522500038146973,0.12508657574653625,0.9509999752044678,0.12615589797496796
26,0.9548437595367432,0.12355460226535797,0.9513750076293945,0.12509337067604065
27,0.9541562795639038,0.12246432155370712,0.9487500190734863,0.12983860075473785
28,0.9547187685966492,0.1234029158949852,0.9503750205039978,0.1252378523349762
29,0.9546874761581421,0.12250973284244537,0.9503750205039978,0.12470651417970657
30,0.9540625214576721,0.12070649117231369,0.9514999985694885,0.12438257038593292
31,0.953125,0.12287656962871552,0.9513750076293945,0.12518669664859772
32,0.9544687271118164,0.1225428357720375,0.949874997138977,0.12543566524982452
33,0.9572499990463257,0.1184808611869812,0.9509999752044678,0.1255202442407608
34,0.9559999704360962,0.12011566758155823,0.9513750076293945,0.12277118116617203
35,0.9559687376022339,0.11829505115747452,0.9520000219345093,0.12301862984895706
36,0.9565937519073486,0.1196756660938263,0.9505000114440918,0.12330546975135803
37,0.9556562304496765,0.11960116773843765,0.9514999985694885,0.12307346612215042
38,0.9557499885559082,0.12004173547029495,0.9512500166893005,0.12296932190656662
39,0.9557187557220459,0.11897726356983185,0.9523749947547913,0.12252136319875717
40,0.9556249976158142,0.11965533345937729,0.9516249895095825,0.12308233231306076
41,0.9562812447547913,0.11702826619148254,0.9517499804496765,0.1225171610713005
42,0.9571250081062317,0.11747744679450989,0.9518749713897705,0.1235550045967102
43,0.9549687504768372,0.12066353112459183,0.9520000219345093,0.12304482609033585
44,0.9557812213897705,0.11859889328479767,0.9521250128746033,0.12289243936538696
45,0.9556562304496765,0.11895976215600967,0.9516249895095825,0.1232839897274971
46,0.9562187790870667,0.11828495562076569,0.9512500166893005,0.12341446429491043
