epoch,accuracy,loss,val_accuracy,val_loss
0,0.746874988079071,0.5069413781166077,0.6591249704360962,0.5697028636932373
1,0.8521875143051147,0.3471650779247284,0.7866250276565552,0.46518608927726746
2,0.8883437514305115,0.285343199968338,0.7587500214576721,0.7250120043754578
3,0.9090312719345093,0.24383196234703064,0.7878749966621399,0.5548524260520935
4,0.9164999723434448,0.22389595210552216,0.8450000286102295,0.35699576139450073
5,0.9220937490463257,0.20974721014499664,0.8488749861717224,0.3565593957901001
6,0.9271875023841858,0.2010784149169922,0.8796250224113464,0.3018706142902374
7,0.9307187795639038,0.1926783323287964,0.8376250267028809,0.49023309350013733
8,0.9320625066757202,0.18510232865810394,0.8212500214576721,1.2377198934555054
9,0.9339374899864197,0.18071317672729492,0.887499988079071,0.41493672132492065
10,0.9379062652587891,0.17047427594661713,0.8015000224113464,0.8242884278297424
11,0.9433125257492065,0.15814390778541565,0.8588749766349792,0.5509836077690125
12,0.945687472820282,0.1538977175951004,0.8600000143051147,0.5452559590339661
13,0.9449999928474426,0.14921513199806213,0.8461250066757202,0.5921681523323059
14,0.9459999799728394,0.15038864314556122,0.8756250143051147,0.41262784600257874
15,0.9488750100135803,0.14235618710517883,0.8356249928474426,0.6433067917823792
16,0.9505312442779541,0.1393871158361435,0.8637499809265137,0.5297396779060364
